,Genome_ID
1060,GCA_002454095.1
1061,GCA_002454195.1
1063,GCA_002454815.1
1065,GCA_002455915.1
1066,GCA_002457075.1
1069,GCA_002457715.1
1070,GCA_002469685.1
1073,GCA_002470025.1
1078,GCA_002470745.1
1079,GCA_002470765.1
1081,GCA_002470905.1
1083,GCA_002471425.1
1084,GCA_002471625.1
1086,GCA_002471745.1
1087,GCA_002471825.1
1088,GCA_002472765.1
1089,GCA_002472905.1
1090,GCA_002472945.1
1091,GCA_002476825.1
1092,GCA_002476905.1
1093,GCA_002477085.1
1096,GCA_002477585.1
1098,GCA_002477665.1
1099,GCA_002478375.1
1100,GCA_002478465.1
1102,GCA_002478685.1
1107,GCA_002480405.1
1112,GCA_002482945.1
1113,GCA_002482975.1
1115,GCA_002483285.1
1116,GCA_002483315.1
1118,GCA_002484185.1
1120,GCA_002484365.1
1121,GCA_002494265.1
1124,GCA_002530675.1
1125,GCA_002530755.1
1126,GCA_002557775.1
1127,GCA_002591275.1
1128,GCA_002631855.1
1129,GCA_002682935.1
1132,GCA_002683495.1
1133,GCA_002683555.1
1137,GCA_002684355.1
1147,GCA_002686575.1
1149,GCA_002687665.1
1152,GCA_002690085.1
1153,GCA_002690095.1
1154,GCA_002690415.1
1157,GCA_002691165.1
1166,GCA_002692745.1
1167,GCA_002693005.1
1168,GCA_002693085.1
1170,GCA_002693185.1
1174,GCA_002693685.1
1177,GCA_002693805.1
1178,GCA_002694465.1
1180,GCA_002694765.1
1184,GCA_002695445.1
1185,GCA_002695545.1
1188,GCA_002696105.1
1189,GCA_002696215.1
1191,GCA_002696305.1
1197,GCA_002696985.1
1198,GCA_002697085.1
1200,GCA_002697365.1
1201,GCA_002697465.1
1202,GCA_002697475.1
1206,GCA_002697885.1
1209,GCA_002698705.1
1210,GCA_002698745.1
1211,GCA_002698895.1
1212,GCA_002699205.1
1217,GCA_002700005.1
1218,GCA_002700155.1
1219,GCA_002700185.1
1225,GCA_002700465.1
1234,GCA_002702385.1
1240,GCA_002702895.1
1241,GCA_002703065.1
1244,GCA_002703565.1
1249,GCA_002705385.1
1251,GCA_002705485.1
1252,GCA_002705625.1
1255,GCA_002706045.1
1258,GCA_002707025.1
1267,GCA_002707745.1
1271,GCA_002708845.1
1273,GCA_002709185.1
1276,GCA_002710605.1
1277,GCA_002710945.1
1282,GCA_002711215.1
1285,GCA_002711825.1
1297,GCA_002714575.1
1299,GCA_002714815.1
1301,GCA_002714865.1
1302,GCA_002715085.1
1303,GCA_002715155.1
1308,GCA_002715485.1
1311,GCA_002715605.1
1315,GCA_002716005.1
1319,GCA_002716845.1
1332,GCA_002719535.1
1341,GCA_002721255.1
1346,GCA_002722255.1
1348,GCA_002723075.1
1354,GCA_002725015.1
1357,GCA_002726175.1
1361,GCA_002727005.1
1364,GCA_002728045.1
1368,GCA_002728635.1
1371,GCA_002729755.1
1378,GCA_002732565.1
1381,GCA_002733285.1
1383,GCA_002733585.1
1385,GCA_002733915.1
1389,GCA_002737105.1
1394,GCA_002738605.1
1396,GCA_002742265.1
1397,GCA_002742325.1
1398,GCA_002742365.1
1399,GCA_002744755.1
1411,GCA_002754195.1
1412,GCA_002754245.1
1413,GCA_002754275.1
1414,GCA_002754315.1
1415,GCA_002770595.1
1416,GCA_002770945.1
1418,GCA_002780665.1
1419,GCA_002781025.1
1420,GCA_002781485.1
1421,GCA_002781585.1
1422,GCA_002782485.1
1423,GCA_002782505.1
1424,GCA_002782545.1
1425,GCA_002784145.1
1426,GCA_002784685.1
1427,GCA_002785365.1
1428,GCA_002785385.1
1430,GCA_002786385.1
1433,GCA_002789175.1
1434,GCA_002789195.1
1435,GCA_002790155.1
1438,GCA_002793215.1
1440,GCA_002796265.1
1441,GCA_002797535.1
1442,GCA_002797785.1
1443,GCA_002797935.1
1445,GCA_002807015.1
1447,GCA_002810405.1
1448,GCA_002813125.1
1451,GCA_002813295.1
1452,GCA_002813425.1
1453,GCA_002813915.1
1454,GCA_002814055.1
1455,GCA_002814075.1
1456,GCA_002831625.1
1457,GCA_002831645.1
1458,GCA_002831665.1
1459,GCA_002831685.1
1460,GCA_002833365.1
1461,GCA_002833385.1
1462,GCA_002835665.1
1463,GCA_002836055.1
1464,GCA_002836085.1
1465,GCA_002836475.1
1466,GCA_002836595.1
1468,GCA_002843925.1
1469,GCA_002843945.1
1471,GCA_002846555.1
1472,GCA_002846575.1
1473,GCA_002846595.1
1478,GCA_002862645.1
1480,GCA_002862705.1
1482,GCA_002862755.1
1484,GCA_002862805.1
1489,GCA_002887275.1
1490,GCA_002888615.1
1491,GCA_002893085.1
1494,GCA_002895435.1
1495,GCA_002896355.1
1496,GCA_002899825.2
1497,GCA_002899875.1
1498,GCA_002899895.2
1499,GCA_002899945.2
1500,GCA_002900095.1
1502,GCA_002909235.1
1503,GCA_002909255.1
1504,GCA_002916795.1
1505,GCA_002916835.1
1506,GCA_002917885.1
1507,GCA_002920895.1
1508,GCA_002924285.1
1509,GCA_002934445.1
1512,GCA_002943655.1
1513,GCA_002943675.1
1514,GCA_002943715.1
1516,GCA_002951395.1
1517,GCA_002951455.1
1519,GCA_002954345.1
1520,GCA_002954355.1
1521,GCA_002954385.1
1522,GCA_002954605.1
1523,GCA_002954645.1
1524,GCA_002954665.1
1525,GCA_002954685.1
1526,GCA_002954765.1
1527,GCA_002964915.1
1528,GCA_002964965.1
1529,GCA_002964975.1
1531,GCA_002973595.1
1532,GCA_002979455.1
1533,GCA_002979665.1
1534,GCA_002979755.1
1535,GCA_002994045.1
1536,GCA_002995685.1
1537,GCA_002995695.1
1538,GCA_002995725.1
1539,GCA_002998835.1
1540,GCA_002999135.1
1541,GCA_003001695.1
1542,GCA_003001855.1
1543,GCA_003001895.1
1544,GCA_003003155.1
1545,GCA_003006795.1
1550,GCA_003014895.1
1551,GCA_003020585.1
1552,GCA_003024155.1
1553,GCA_003024905.1
1555,GCA_003034215.1
1556,GCA_003053575.1
1557,GCA_003054025.1
1558,GCA_003054225.1
1559,GCA_003054265.1
1560,GCA_003055625.1
1561,GCA_003057865.1
1562,GCA_003058195.1
1563,GCA_003058265.1
1564,GCA_003061225.1
1565,GCA_003061345.1
1566,GCA_003061395.1
1567,GCA_003070725.1
1568,GCA_003075045.1
1569,GCA_003076455.1
1570,GCA_003076475.1
1571,GCA_003094695.1
1572,GCA_003095375.1
1573,GCA_003095655.1
1574,GCA_003096035.1
1575,GCA_003096795.1
1576,GCA_003097535.1
1577,GCA_003097635.1
1578,GCA_003097655.1
1579,GCA_003105115.1
1580,GCA_003122385.1
1581,GCA_003122675.1
1582,GCA_003129485.1
1585,GCA_003144015.1
1586,GCA_003146745.1
1587,GCA_003148385.1
1588,GCA_003148525.1
1589,GCA_003148645.1
1592,GCA_003149745.1
1594,GCA_003182335.1
1595,GCA_003201365.1
1596,GCA_003201775.1
1597,GCA_003202405.1
1598,GCA_003202435.1
1599,GCA_003208535.1
1620,GCA_003217215.1
1621,GCA_003217415.1
1636,GCA_003232155.1
1640,GCA_003233725.1
1643,GCA_003241515.1
1644,GCA_003241955.1
1645,GCA_003242135.1
1646,GCA_003243255.1
1647,GCA_003246205.1
1649,GCA_003248465.1
1650,GCA_003248755.1
1651,GCA_003253545.1
1652,GCA_003254015.1
1653,GCA_003254095.1
1654,GCA_003254545.1
1655,GCA_003254565.1
1656,GCA_003254585.1
1657,GCA_003254625.1
1658,GCA_003254745.1
1660,GCA_003259265.1
1661,GCA_003259375.1
1662,GCA_003259525.1
1663,GCA_003259835.1
1664,GCA_003260195.1
1665,GCA_003260205.1
1667,GCA_003268815.1
1668,GCA_003268855.1
1669,GCA_003269425.1
1671,GCA_003290185.1
