AssemblyAcc	BioProject	BioSample	RunAccessions
GCA_002217205.1	PRJNA354433	SAMN06049065	SRR5064665
GCA_002217235.1	PRJNA354433	SAMN06049046	SRR5064649
GCA_002217245.1	PRJNA354433	SAMN06049043	SRR5064648
GCA_002217275.1	PRJNA354433	SAMN06049050	SRR5064653
GCA_002217285.1	PRJNA354433	SAMN06049051	SRR5064654
GCA_002217315.1	PRJNA354433	SAMN06049058	SRR5064661
GCA_002217335.1	PRJNA354433	SAMN06049047	SRR5064650
GCA_002217355.1	PRJNA354433	SAMN06049060	SRR5064662
GCA_002217365.1	PRJNA354433	SAMN06049057	SRR5064660
GCA_002217395.1	PRJNA354433	SAMN06049068	SRR5064668
GCA_002217405.1	PRJNA354433	SAMN06049063	SRR5064664
GCA_002217435.1	PRJNA354433	SAMN06049053	SRR5064656
GCA_002217445.1	PRJNA354433	SAMN06049056	SRR5064659
GCA_002217475.1	PRJNA354433	SAMN06049067	SRR5064667
GCA_002221975.1	PRJNA354433	SAMN06049048	SRR5064651
GCA_002222045.1	PRJNA354433	SAMN06049066	SRR5064666
GCA_002222055.1	PRJNA354433	SAMN06049049	SRR5064652
GCA_002234495.1	PRJNA380207	SAMN07322679	SRR5826483
GCA_002277995.2	PRJNA231221	SAMN04875535	SRR4123919,SRR4123920
GCA_002285635.2	PRJNA342323	SAMN07488153	SRR6116786,SRR6118667,SRR6118668
GCA_002291575.1	PRJNA348753	SAMN06450470	SRR5322024
GCA_002291725.1	PRJNA348753	SAMN06455473	SRR5322017
GCA_002291765.1	PRJNA348753	SAMN06455465	SRR5322014
GCA_002291795.1	PRJNA348753	SAMN06455467	SRR5322012
GCA_002292245.1	PRJNA348753	SAMN06457239	SRR5327300
GCA_002292265.1	PRJNA348753	SAMN06457237	SRR5327297
GCA_002293985.1	PRJNA348753	SAMN06453948	SRR5330128
GCA_002294105.1	PRJNA348753	SAMN06455065	SRR5330120
GCA_002294145.1	PRJNA348753	SAMN06455062	SRR5321967
GCA_002294465.1	PRJNA348753	SAMN06453942	SRR5330126
GCA_002294525.1	PRJNA348753	SAMN06453945	SRR5330125
GCA_002295505.1	PRJNA348753	SAMN06450576	SRR5321345
GCA_002296255.1	PRJNA348753	SAMN06456102	SRR5321318
GCA_002296555.1	PRJNA348753	SAMN06456106	SRR5330266
GCA_002296885.1	PRJNA348753	SAMN06451074	SRR5325315
GCA_002297465.1	PRJNA348753	SAMN06452894	SRR5324505
GCA_002297505.1	PRJNA348753	SAMN06452890	SRR5325389
GCA_002297705.1	PRJNA348753	SAMN06457067	SRR5322036
GCA_002302395.1	PRJNA369395	SAMN06289148	SRR5362224,SRR5584650
GCA_002302415.1	PRJNA369395	SAMN06289147	SRR5362225,SRR5482514,SRR5584657
GCA_002302445.1	PRJNA369395	SAMN06289145	SRR5362227,SRR5584655
GCA_002302475.1	PRJNA369395	SAMN06754876	SRR5482515,SRR5584660
GCA_002302495.1	PRJNA369395	SAMN06754875	SRR5482516,SRR5584659
GCA_002302515.1	PRJNA369395	SAMN06289154	SRR5362218,SRR5584658
GCA_002302535.1	PRJNA369395	SAMN06289153	SRR5362219,SRR5584649
GCA_002302565.1	PRJNA369395	SAMN06289152	SRR5362220,SRR5584648
GCA_002302595.1	PRJNA369395	SAMN06289150	SRR5362222,SRR5584652
GCA_002302615.1	PRJNA369395	SAMN06289149	SRR5362223,SRR5584651
GCA_002302635.1	PRJNA369395	SAMN06289146	SRR5362226,SRR5584656
GCA_002302655.1	PRJNA369395	SAMN06289144	SRR5362228,SRR5584654
GCA_002303885.1	PRJNA341585	SAMN05954931	SRR5192443
GCA_002304005.1	PRJNA341585	SAMN05967353	SRR5192439
GCA_002304765.1	PRJNA348753	SAMN06455060	SRR5321969
GCA_002306185.1	PRJNA348753	SAMN06452911	SRR5330017
GCA_002308695.1	PRJNA348753	SAMN06455756	SRR5330276
GCA_002311535.1	PRJNA348753	SAMN06457045	SRR5325057
GCA_002311725.1	PRJNA348753	SAMN06452728	SRR5325512
GCA_002312885.1	PRJNA369395	SAMN06289151	SRR5362221,SRR5584653
GCA_002313325.1	PRJNA348753	SAMN06454776	SRR5324514
GCA_002315095.1	PRJNA348753	SAMN06453204	SRR5325502
GCA_002315415.1	PRJNA348753	SAMN06453202	SRR5325506
GCA_002319955.1	PRJNA348753	SAMN06453411	SRR5323835
GCA_002320855.1	PRJNA348753	SAMN06453955	SRR5324473
GCA_002322625.1	PRJNA348753	SAMN06452064	SRR5326401
GCA_002322895.1	PRJNA348753	SAMN06455825	SRR5330140
GCA_002323395.1	PRJNA348753	SAMN06453429	SRR5321951
GCA_002323475.1	PRJNA348753	SAMN06452621	SRR5321946
GCA_002323495.1	PRJNA348753	SAMN06452628	SRR5321948
GCA_002325035.1	PRJNA348753	SAMN06455385	SRR5321724
GCA_002325485.1	PRJNA348753	SAMN06453297	SRR5321721
GCA_002325685.1	PRJNA348753	SAMN06454079	SRR5321732
GCA_002332505.1	PRJNA348753	SAMN06454682	SRR5329968
GCA_002333005.1	PRJNA348753	SAMN06456973	SRR5329681
GCA_002334975.1	PRJNA348753	SAMN06456605	SRR5327220
GCA_002335345.1	PRJNA348753	SAMN06454196	SRR5327206
GCA_002336225.1	PRJNA348753	SAMN06452525	SRR5327209
GCA_002336305.1	PRJNA348753	SAMN06456320	SRR5321808
GCA_002337205.1	PRJNA348753	SAMN06450788	SRR5321763
GCA_002337605.1	PRJNA348753	SAMN06450548	SRR5321738
GCA_002338325.1	PRJNA348753	SAMN06451462	SRR5330250
GCA_002338705.1	PRJNA348753	SAMN06456506	SRR5325312
GCA_002340165.1	PRJNA348753	SAMN06455906	SRR5329932
GCA_002340745.1	PRJNA348753	SAMN06457085	SRR5324974
GCA_002340755.1	PRJNA348753	SAMN06457088	SRR5324985
GCA_002340765.1	PRJNA348753	SAMN06457090	SRR5324983
GCA_002341025.1	PRJNA348753	SAMN06457333	SRR5330153
GCA_002345565.1	PRJNA348753	SAMN06455163	SRR5325403
GCA_002346855.1	PRJNA348753	SAMN06452130	SRR5325005
GCA_002352205.1	PRJNA348753	SAMN06457880	SRR5323640
GCA_002352665.1	PRJNA348753	SAMN06454306	SRR5324191
GCA_002352865.1	PRJNA348753	SAMN06450550	SRR5321736
GCA_002353015.1	PRJNA348753	SAMN06451464	SRR5330252
GCA_002354475.1	PRJNA348753	SAMN06451360	SRR5324562
GCA_002354685.1	PRJNA348753	SAMN06453895	SRR5324550
GCA_002354765.1	PRJNA348753	SAMN06452587	SRR5324554
GCA_002354835.1	PRJNA348753	SAMN06452584	SRR5324551
GCA_002358695.1	PRJNA348753	SAMN06456946	SRR5321826
GCA_002359055.1	PRJNA348753	SAMN06454421	SRR5321119
GCA_002360095.1	PRJNA348753	SAMN06451100	SRR5324392
GCA_002360395.1	PRJNA348753	SAMN06451634	SRR5321609
GCA_002360635.1	PRJNA348753	SAMN06454139	SRR5321607
GCA_002360925.1	PRJNA348753	SAMN06453911	SRR5326328
GCA_002362375.1	PRJNA348753	SAMN06451354	SRR5321591
GCA_002362875.1	PRJNA348753	SAMN06457150	SRR5330133
GCA_002363835.1	PRJNA348753	SAMN06454825	SRR5324602
GCA_002363855.1	PRJNA348753	SAMN06451762	SRR5324601
GCA_002363875.1	PRJNA348753	SAMN06451768	SRR5324598
GCA_002364135.1	PRJNA348753	SAMN06454266	SRR5324596
GCA_002364215.1	PRJNA348753	SAMN06454271	SRR5324591
GCA_002364245.1	PRJNA348753	SAMN06450931	SRR5324618
GCA_002364255.1	PRJNA348753	SAMN06450930	SRR5324617
GCA_002364325.1	PRJNA348753	SAMN06450923	SRR5324613
GCA_002364335.1	PRJNA348753	SAMN06450922	SRR5324612
GCA_002364385.1	PRJNA348753	SAMN06455688	SRR5324379
GCA_002364405.1	PRJNA348753	SAMN06455678	SRR5324378
GCA_002364535.1	PRJNA348753	SAMN06451188	SRR5324382
GCA_002365095.1	PRJNA348753	SAMN06455953	SRR5325695
GCA_002365405.1	PRJNA348753	SAMN06452674	SRR5325010
GCA_002365615.1	PRJNA348753	SAMN06453787	SRR5324620
GCA_002366675.1	PRJNA348753	SAMN06455127	SRR5324177
GCA_002367645.1	PRJNA348753	SAMN06454663	SRR5325019
GCA_002375245.1	PRJNA348753	SAMN06454528	SRR5324627
GCA_002375625.1	PRJNA348753	SAMN06453357	SRR5324641
GCA_002375695.1	PRJNA348753	SAMN06453355	SRR5324648
GCA_002376145.1	PRJNA348753	SAMN06456099	SRR5325463
GCA_002376315.1	PRJNA348753	SAMN06453350	SRR5324647
GCA_002376925.1	PRJNA348753	SAMN06455298	SRR5324456
GCA_002378465.1	PRJNA348753	SAMN06453470	SRR5330166
GCA_002378585.1	PRJNA348753	SAMN06452670	SRR5324780
GCA_002379575.1	PRJNA348753	SAMN06455642	SRR5326974
GCA_002379725.1	PRJNA348753	SAMN06450889	SRR5325604
GCA_002379965.1	PRJNA348753	SAMN06451758	SRR5324440
GCA_002379985.1	PRJNA348753	SAMN06451757	SRR5324439
GCA_002380515.1	PRJNA348753	SAMN06451759	SRR5324437
GCA_002380565.1	PRJNA348753	SAMN06451753	SRR5330362
GCA_002381155.1	PRJNA348753	SAMN06453475	SRR5323964
GCA_002382405.1	PRJNA348753	SAMN06455023	SRR5325038
GCA_002382495.1	PRJNA348753	SAMN06456322	SRR5322435
GCA_002382825.1	PRJNA348753	SAMN06457595	SRR5325034
GCA_002383055.1	PRJNA348753	SAMN06453218	SRR5326979
GCA_002383165.1	PRJNA348753	SAMN06453444	SRR5329909
GCA_002384055.1	PRJNA348753	SAMN06457598	SRR5325040
GCA_002384125.1	PRJNA348753	SAMN06455269	SRR5325047
GCA_002384245.1	PRJNA348753	SAMN06457835	SRR5325043
GCA_002384345.1	PRJNA348753	SAMN06455438	SRR5321621
GCA_002384605.1	PRJNA348753	SAMN06452009	SRR5321630
GCA_002384715.1	PRJNA348753	SAMN06457600	SRR5325052
GCA_002384895.1	PRJNA348753	SAMN06456489	SRR5321624
GCA_002387575.1	PRJNA348753	SAMN06452774	SRR5327257
GCA_002388405.1	PRJNA348753	SAMN06450759	SRR5321647
GCA_002388445.1	PRJNA348753	SAMN06450765	SRR5321645
GCA_002388705.1	PRJNA348753	SAMN06455773	SRR5321661
GCA_002388845.1	PRJNA348753	SAMN06456087	SRR5321667
GCA_002388855.1	PRJNA348753	SAMN06450408	SRR5324222
GCA_002389235.1	PRJNA348753	SAMN06457206	SRR5327168
GCA_002389405.1	PRJNA348753	SAMN06452116	SRR5327164
GCA_002389535.1	PRJNA348753	SAMN06454676	SRR5327178
GCA_002390125.1	PRJNA348753	SAMN06452123	SRR5327172
GCA_002390165.1	PRJNA348753	SAMN06457462	SRR5327173
GCA_002390455.1	PRJNA348753	SAMN06454401	SRR5327197
GCA_002390585.1	PRJNA348753	SAMN06454395	SRR5327189
GCA_002390605.1	PRJNA348753	SAMN06456575	SRR5327194
GCA_002390665.1	PRJNA348753	SAMN06451605	SRR5327151
GCA_002390905.1	PRJNA348753	SAMN06451895	SRR5330311
GCA_002391865.1	PRJNA348753	SAMN06453105	SRR5330296
GCA_002392055.1	PRJNA348753	SAMN06453887	SRR5330292
GCA_002399805.1	PRJNA348753	SAMN06453583	SRR5326624
GCA_002403645.1	PRJNA348753	SAMN06454954	SRR5329603
GCA_002403935.1	PRJNA348753	SAMN06456042	SRR5327013
GCA_002413625.1	PRJNA348753	SAMN06454362	SRR5321990
GCA_002413745.1	PRJNA348753	SAMN06451572	SRR5326999
GCA_002414425.1	PRJNA348753	SAMN06457042	SRR5321680
