AssemblyAcc	BioProject	BioSample	RunAccessions
GCA_900110375.1	PRJNA303429	SAMN04487942	SRR4159448
GCA_900110605.1	PRJNA303561	SAMN04488097	SRR4164053
GCA_900110615.1	PRJNA335221	SAMN05444005	SRR4237026
GCA_900111025.1	PRJNA329879	SAMN05421824	SRR4233934
GCA_900111065.1	PRJNA303569	SAMN04488089	SRR4164042
GCA_900111075.1	PRJNA331490	SAMN05444355	SRR4236996
GCA_900111495.1	PRJNA329850	SAMN05421841	SRR4234945
GCA_900111965.1	PRJNA262327	SAMN05660845	SRR4136349
GCA_900112105.1	PRJNA303283	SAMN04487907	SRR4163856
GCA_900112115.1	PRJNA329896	SAMN05421876	SRR4234521
GCA_900112245.1	PRJNA303418	SAMN04488010	SRR4164045
GCA_900112295.1	PRJNA303349	SAMN04487891	SRR4164051
GCA_900112395.1	PRJNA303756	SAMN04489722	SRR4191750
GCA_900112575.1	PRJNA323102	SAMN05216297	SRR4217700
GCA_900112595.1	PRJNA303404	SAMN04487987	SRR4156230
GCA_900112975.1	PRJNA303886	SAMN04488131	SRR4164012
GCA_900113135.1	PRJNA303485	SAMN04488033	SRR4164030
GCA_900113805.1	PRJNA332168	SAMN05443292	SRR4234954
GCA_900113975.1	PRJNA329806	SAMN05421692	SRR4235434
GCA_900114005.1	PRJNA331473	SAMN05443431	SRR4237025
GCA_900114045.1	PRJNA330498	SAMN05421638	SRR4235443
GCA_900114085.1	PRJNA303347	SAMN04487893	SRR4164050
GCA_900114265.1	PRJNA329853	SAMN05428642	SRR4233947
GCA_900114875.1	PRJNA322943	SAMN05216324	SRR4233840
GCA_900114945.1	PRJNA331409	SAMN05444143	SRR4236981
GCA_900115015.1	PRJNA329740	SAMN05421738	SRR4236233
GCA_900115055.1	PRJNA329792	SAMN05421594	SRR4233950
GCA_900115115.1	PRJNA329731	SAMN05421741	SRR4236245
GCA_900115145.1	PRJNA262307	SAMN05660413	SRR4136345
GCA_900115185.1	PRJNA303402	SAMN04487989	SRR4163853
GCA_900115205.1	PRJNA303861	SAMN04490243	SRR4181655
GCA_900115315.1	PRJNA331524	SAMN05444369	SRR4236984
GCA_900115875.1	PRJNA331408	SAMN05444144	SRR4237022
GCA_900116115.1	PRJNA303385	SAMN04488006	SRR4164028
GCA_900116365.1	PRJNA303284	SAMN04487906	SRR4159323
GCA_900116415.1	PRJNA329825	SAMN05421857	SRR4234944
GCA_900116665.1	PRJNA323147	SAMN05216480	SRR4217175
GCA_900119145.1	PRJNA262250	SAMN05660313	SRR4136429
GCA_900119185.1	PRJNA255618	SAMN02927921	SRR4129103
GCA_900128945.1	PRJNA247527	SAMN02787100	SRR4090069
GCA_900129005.1	PRJNA245686	SAMN02745246	SRR4096372
GCA_900129035.1	PRJNA331378	SAMN05444278	SRR5188965
GCA_900129105.1	PRJNA247533	SAMN02787073	SRR4090065
GCA_900129245.1	PRJNA335209	SAMN05443633	SRR5189553
GCA_900129275.1	PRJNA262074	SAMN03080594	SRR4136503,SRR4136504
GCA_900129385.1	PRJNA335213	SAMN05444408	SRR5189246
GCA_900129405.1	PRJNA331474	SAMN05444377	SRR5188966
GCA_900129445.1	PRJNA331384	SAMN05444483	SRR5188948
GCA_900129475.1	PRJNA331399	SAMN05444344	SRR4236993
GCA_900129545.1	PRJNA331503	SAMN05443549	SRR5188564
GCA_900129555.1	PRJNA335177	SAMN05443663	SRR5188342
GCA_900129575.1	PRJNA331688	SAMN05444396	SRR5188565
GCA_900129585.1	PRJNA335175	SAMN05444372	SRR5188345
GCA_900129595.1	PRJNA331682	SAMN05444481	SRR5188339
GCA_900129605.1	PRJNA331517	SAMN05444388	SRR5188344
GCA_900129665.1	PRJNA303610	SAMN04488116	SRR4156223
GCA_900129705.1	PRJNA331352	SAMN05443373	SRR5188561
GCA_900129745.1	PRJNA331392	SAMN05444148	SRR4237015
GCA_900129755.1	PRJNA329880	SAMN05421866	SRR4234946
GCA_900129795.1	PRJNA331831	SAMN05444671	SRR4235152
GCA_900130035.1	PRJNA331391	SAMN05444281	SRR5189955
GCA_900130045.1	PRJNA303392	SAMN04487999	SRR4164041
GCA_900141665.1	PRJNA331477	SAMN05443429	SRR5187788
GCA_900141715.1	PRJNA323090	SAMN05216261	SRR4217176
GCA_900141765.1	PRJNA335214	SAMN05444409	SRR5189779
GCA_900141785.1	PRJNA303630	SAMN04488508	SRR4164027
GCA_900141855.1	PRJNA303599	SAMN04488513	SRR4169751
GCA_900141885.1	PRJNA303562	SAMN04488096	SRR4164054
GCA_900141935.1	PRJNA303315	SAMN04487911	SRR4164014
GCA_900141955.1	PRJNA303318	SAMN04487908	SRR4164049
GCA_900142035.1	PRJNA331506	SAMN05444363	SRR5188382
GCA_900142055.1	PRJNA331498	SAMN05444337	SRR4237007
GCA_900142175.1	PRJNA303421	SAMN04488007	SRR4164021
GCA_900142325.1	PRJNA331686	SAMN05444371	SRR4236970
GCA_900142355.1	PRJNA331398	SAMN05444146	SRR4236983
GCA_900142405.1	PRJNA323128	SAMN05216293	SRR4217064
GCA_900142445.1	PRJNA335212	SAMN05444267	SRR5189248
GCA_900142565.1	PRJNA335207	SAMN05443634	SRR5189781
GCA_900142615.1	PRJNA335211	SAMN05444407	SRR5189556
GCA_900142635.1	PRJNA331372	SAMN05444275	SRR5189552
GCA_900142685.1	PRJNA331401	SAMN05444484	SRR5188947
GCA_900142695.1	PRJNA331525	SAMN05443669	SRR5188196
GCA_900142715.1	PRJNA331515	SAMN05444387	SRR5188316
GCA_900142735.1	PRJNA331514	SAMN05444366	SRR5188194
GCA_900142775.1	PRJNA331518	SAMN05443543	SRR5188198
GCA_900142785.1	PRJNA335210	SAMN05444360	SRR5188963
GCA_900142885.1	PRJNA323103	SAMN05216269	SRR4217673
GCA_900142975.1	PRJNA345703	SAMN05878281	SRR4407711,SRR4407712
GCA_900143115.1	PRJNA340740	SAMN05720268	SRR4244064,SRR4244065,SRR5007111,SRR5007112
GCA_900143185.1	PRJNA329759	SAMN05421769	SRR4235433
GCA_900143245.1	PRJNA331684	SAMN05444395	SRR5188343
GCA_900143665.1	PRJEB18490	SAMEA20464918	ERR1749803
GCA_900148835.1	PRJNA331505	SAMN05443547	SRR5188383
GCA_900155985.1	PRJNA330497	SAMN05421797	SRR4235436
GCA_900156015.1	PRJNA345684	SAMN05880573	SRR5194642
GCA_900156075.1	PRJNA345683	SAMN05880574	SRR5194634
GCA_900156145.1	PRJNA329757	SAMN05421682	SRR4235429
GCA_900156575.1	PRJNA330501	SAMN05421639	SRR4235432
GCA_900156585.1	PRJNA329760	SAMN05421768	SRR4235430
GCA_900156625.1	PRJNA329763	SAMN05421766	SRR4235427
GCA_900156685.1	PRJNA330495	SAMN05421796	SRR4235425
GCA_900156725.1	PRJNA330506	SAMN05421789	SRR4235431
GCA_900156735.1	PRJNA329745	SAMN05421786	SRR4235424
GCA_900156825.1	PRJNA329747	SAMN05421785	SRR4235421
GCA_900156945.1	PRJEB14302	SAMEA4026800	ERR1442924
GCA_900156965.1	PRJEB14302	SAMEA50779918	ERR1797985
GCA_900156975.1	PRJEB14302	SAMEA4026802	ERR1442926
GCA_900156985.1	PRJEB14302	SAMEA50775418	ERR1797983
GCA_900156995.1	PRJEB14302	SAMEA50774668	ERR1797982
GCA_900157015.1	PRJEB14302	SAMEA50780668	ERR1797986
GCA_900157025.1	PRJEB14302	SAMEA50777668	ERR1797984
GCA_900157035.1	PRJEB14302	SAMEA4026803	ERR1442927
GCA_900167905.1	PRJNA262354	SAMN05660477	SRR4136535
GCA_900167935.1	PRJNA262281	SAMN05660866	SRR4136562
GCA_900168045.1	PRJNA262347	SAMN05660776	SRR4136560
GCA_900168115.1	PRJNA262349	SAMN05660903	SRR4136551
GCA_900168205.1	PRJNA329805	SAMN05421800	SRR4235426
GCA_900168265.1	PRJNA262351	SAMN05660445	SRR4136548
GCA_900176315.1	PRJNA247535	SAMN02787074	SRR4090078
GCA_900176415.1	PRJNA262249	SAMN05660703	SRR4136583
GCA_900176425.1	PRJNA370102	SAMN06296427	SRR5851933
GCA_900177645.1	PRJNA262073	SAMN03080602	SRR4136510
GCA_900182645.1	PRJNA363524	SAMN06265349	SRR5888832,SRR5888833
GCA_900182655.1	PRJNA363580	SAMN06265171	SRR5888842,SRR5888843
GCA_900182675.1	PRJNA363581	SAMN06265220	SRR5888844,SRR5888845
GCA_900186945.1	PRJEB6403	SAMEA4063029	ERR1716485
GCA_900187185.1	PRJEB6403	SAMEA4412677	ERR1805681
GCA_900187255.1	PRJEB6403	SAMEA44541418	ERR1857500
GCA_900187965.1	PRJNA303369	SAMN04487979	SRR4156437
GCA_900188235.1	PRJNA363559	SAMN06265371	SRR5888822,SRR5888823
GCA_900188275.1	PRJNA363567	SAMN06265376	SRR5888994,SRR5888995
GCA_900188355.1	PRJNA303615	SAMN04488111	SRR4164025
GCA_900188415.1	PRJNA303419	SAMN04488009	SRR4164044
GCA_900215295.1	PRJNA370096	SAMN06296241	SRR5851899
GCA_900215465.1	PRJNA363568	SAMN06265377	SRR5889124,SRR5889125
GCA_900290975.1	PRJEB25044	SAMEA104599851	ERR2307065
GCA_900445655.1	PRJEB6403	SAMEA4362427	ERR1787551,ERR1874197
GCA_900445675.1	PRJEB6403	SAMEA104167218	ERR2237786
GCA_900446675.1	PRJEB6403	SAMEA44542168	ERR1883067
GCA_900446695.1	PRJEB6403	SAMEA4063027	ERR1716483
GCA_900446705.1	PRJEB6403	SAMEA104210786	ERR2237806
GCA_900446785.1	PRJEB6403	SAMEA48410668	ERR2125708
GCA_900446825.1	PRJEB6403	SAMEA3121332	ERR832413
GCA_900446845.1	PRJEB6403	SAMEA104307712	ERR2531733
GCA_900446855.1	PRJEB6403	SAMEA104318207	ERR2496369
GCA_900446865.1	PRJEB6403	SAMEA3121331	ERR832412
GCA_900447195.1	PRJEB6403	SAMEA104200670	ERR2180697,ERR2195672
GCA_900447295.1	PRJEB6403	SAMEA104338373	ERR2392189
GCA_900447345.1	PRJEB6403	SAMEA104338399	ERR2392195
GCA_900447425.1	PRJEB6403	SAMEA3121330	ERR832411
GCA_900450525.1	PRJEB6403	SAMEA104318185	ERR2503149
GCA_900453725.1	PRJEB6403	SAMEA104210761	ERR2225510,ERR2237828
GCA_900453765.1	PRJEB6403	SAMEA4063030	ERR1716486
GCA_900453865.1	PRJEB6403	SAMEA4364221	ERR1787537
GCA_900460495.1	PRJEB6403	SAMEA104167219	ERR2237787
GCA_900460905.1	PRJEB6403	SAMEA44550418	ERR1883081
GCA_900460915.1	PRJEB6403	SAMEA104210763	ERR2225512
GCA_900460995.1	PRJEB6403	SAMEA3643317	ERR1229120
GCA_900475375.1	PRJEB6403	SAMEA3643315	ERR1246949
GCA_900538215.1	PRJEB25749	SAMEA104719791	ERR2451472
GCA_900538225.1	PRJEB25749	SAMEA104719789	ERR2451470
GCA_900609965.1	PRJEB27605	SAMEA4794749	ERR2704361
GCA_900609985.1	PRJEB27605	SAMEA4794747	ERR2704360
GCA_900609995.1	PRJEB27605	SAMEA4794751	ERR2704362
GCA_900610005.1	PRJEB27605	SAMEA4794755	ERR2704364
GCA_900610015.1	PRJEB27605	SAMEA4794757	ERR2704365
GCA_900610025.1	PRJEB27605	SAMEA4794761	ERR2704367
GCA_900610035.1	PRJEB27605	SAMEA4794759	ERR2704366
GCA_900610045.1	PRJEB27605	SAMEA4794767	ERR2704370
GCA_900610055.1	PRJEB27605	SAMEA4794763	ERR2704368
GCA_900610065.1	PRJEB27605	SAMEA4794765	ERR2704369
GCA_900610075.1	PRJEB27605	SAMEA4794769	ERR2704371
GCA_900610085.1	PRJEB27605	SAMEA4794773	ERR2704373
GCA_900610095.1	PRJEB27605	SAMEA4794775	ERR2704374
GCA_900610105.1	PRJEB27605	SAMEA4794771	ERR2704372
GCA_900610115.1	PRJEB27605	SAMEA4794781	ERR2704377
GCA_900610125.1	PRJEB27605	SAMEA4794777	ERR2704375
GCA_900610135.1	PRJEB27605	SAMEA4794779	ERR2704376
GCA_900610145.1	PRJEB27605	SAMEA4794783	ERR2704378
GCA_900610155.1	PRJEB27605	SAMEA4794785	ERR2704379
GCA_900610165.1	PRJEB27605	SAMEA4794791	ERR2704382
GCA_900610175.1	PRJEB27605	SAMEA4794787	ERR2704380
GCA_900610185.1	PRJEB27605	SAMEA4794789	ERR2704381
GCA_900610195.1	PRJEB27605	SAMEA4794793	ERR2704383
GCA_900610205.1	PRJEB27605	SAMEA4794797	ERR2704385
GCA_900610215.1	PRJEB27605	SAMEA4794795	ERR2704384
GCA_900610225.1	PRJEB27605	SAMEA4794803	ERR2704387
GCA_900610245.1	PRJEB27605	SAMEA4794805	ERR2704388
GCA_900610255.1	PRJEB27605	SAMEA4794807	ERR2704389
GCA_900610275.1	PRJEB27605	SAMEA4794801	ERR2704386
GCA_900610285.1	PRJEB27605	SAMEA4794817	ERR2704393
GCA_900610295.1	PRJEB27605	SAMEA4794815	ERR2704392
GCA_900610305.1	PRJEB27605	SAMEA4794813	ERR2704391
GCA_900610315.1	PRJEB27605	SAMEA4794811	ERR2704390
GCA_900610325.1	PRJEB27605	SAMEA4794821	ERR2704395
GCA_900610335.1	PRJEB27605	SAMEA4794819	ERR2704394
GCA_900610345.1	PRJEB27605	SAMEA4794823	ERR2704396
GCA_900610355.1	PRJEB27605	SAMEA4794745	ERR2704359
GCA_900610385.1	PRJEB27605	SAMEA4794825	ERR2704397
GCA_900618145.1	PRJEB6403	SAMEA104210766	ERR2225513
GCA_900618195.1	PRJEB6403	SAMEA104307710	ERR2274876
GCA_900618225.1	PRJEB6403	SAMEA104338431	ERR2432867
GCA_900636535.1	PRJEB6403	SAMEA3643324	ERR1254170
GCA_900637665.1	PRJEB6403	SAMEA24550918	ERR2125626
GCA_900637795.1	PRJEB6403	SAMEA26407168	ERR2125678
GCA_900637895.1	PRJEB6403	SAMEA48409918	ERR2125707
GCA_900638125.1	PRJEB6403	SAMEA104200653	ERR2171933,ERR2177085,ERR2177096
GCA_900638245.1	PRJEB6403	SAMEA104167194	ERR2195666
GCA_900638435.1	PRJEB6403	SAMEA104210801	ERR2237819
GCA_900683405.1	PRJEB6403	SAMEA104167228	ERR2237793
GCA_900683625.1	PRJEB6403	SAMEA104200672	ERR2180699
GCA_902167265.1	PRJEB8920	SAMEA5764747	ERR3426146
GCA_902167275.1	PRJEB8920	SAMEA5764746	ERR3426145
GCA_902167285.2	PRJEB8920	SAMEA5764749	ERR3426148
GCA_902499555.1	PRJEB34499	SAMEA5787750	ERR3531938
GCA_902706275.1	PRJEB34793	SAMEA6372299	ERR3719073
GCA_902728265.1	PRJEB35361	SAMEA6474461	ERR3814115
GCA_902728305.1	PRJEB35361	SAMEA6474461	ERR3814115
GCA_902729325.1	PRJEB35360	SAMEA6474462	ERR3829800
GCA_902804475.1	PRJEB36401	SAMEA6526578	ERR3888428
GCA_902804485.1	PRJEB36401	SAMEA6526577	ERR3888429
GCA_903819335.1	PRJEB38860	SAMEA6952691	ERR4235631,ERR4235632
GCA_903819435.1	PRJEB38866	SAMEA6952714	ERR4235667,ERR4235668
GCA_903819445.1	PRJEB38866	SAMEA6952715	ERR4235669
GCA_903969135.1	PRJEB36603	SAMEA6565344	ERR4298190
